test_type,alloy,solute,plane,T_C,gamma_Jm2_mean,gamma_Jm2_std,gamma_Jm2_min,gamma_Jm2_max,ads_monolayers_mean,ads_monolayers_std,ads_monolayers_min,ads_monolayers_max,ads_first2_monolayers_mean,ads_first2_monolayers_std,ads_first2_monolayers_min,ads_first2_monolayers_max,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_min,acceptance_ratio_max,delta_final_mean,delta_final_std,delta_final_min,delta_final_max,term1_Jmol_mean,term1_Jmol_std,term1_Jmol_min,term1_Jmol_max,term2_Jmol_mean,term2_Jmol_std,term2_Jmol_min,term2_Jmol_max,term3_Jmol_mean,term3_Jmol_std,term3_Jmol_min,term3_Jmol_max,term4_Jmol_mean,term4_Jmol_std,term4_Jmol_min,term4_Jmol_max,term5_Jmol_mean,term5_Jmol_std,term5_Jmol_min,term5_Jmol_max,Eel_Jmol_mean,Eel_Jmol_std,Eel_Jmol_min,Eel_Jmol_max,total_Jmol_mean,total_Jmol_std,total_Jmol_min,total_Jmol_max
L,Fe-1.15Cu_wt,CU,100,650.0,2.0808845418994832,0.0,2.0808845418994832,2.0808845418994832,0.9246753661097958,0.0,0.9246753661097958,0.9246753661097958,0.924686400887963,0.0,0.924686400887963,0.924686400887963,0.88216,0.0,0.88216,0.88216,0.2,0.0,0.2,0.2,72342.67550418961,0.0,72342.67550418961,72342.67550418961,31042.198734380014,0.0,31042.198734380014,31042.198734380014,-442.4154574413643,0.0,-442.41545744136425,-442.41545744136425,-1.1004933608246443,0.0,-1.1004933608246443,-1.1004933608246443,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,102941.35828776743,0.0,102941.35828776743,102941.35828776743
L,Fe-1.15Cu_wt,CU,100,675.0,2.0955711107000523,0.0,2.0955711107000523,2.0955711107000523,0.9131623926115028,0.0,0.9131623926115028,0.9131623926115028,0.9131545154984264,0.0,0.9131545154984264,0.9131545154984264,0.88364,0.0,0.88364,0.88364,0.2,0.0,0.2,0.2,72991.27370410073,0.0,72991.27370410073,72991.27370410073,31219.602033663785,0.0,31219.60203366379,31219.60203366379,-541.3378956999564,0.0,-541.3378956999564,-541.3378956999564,-1.6349957329978344,0.0,-1.6349957329978344,-1.6349957329978344,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,103667.90284633158,0.0,103667.90284633158,103667.90284633158
L,Fe-1.15Cu_wt,CU,100,700.0,2.1095438338020864,0.0,2.1095438338020864,2.1095438338020864,0.9007298170445344,0.0,0.9007298170445344,0.9007298170445344,0.9007392438546062,0.0,0.9007392438546062,0.9007392438546062,0.8845750000000001,0.0,0.884575,0.884575,0.2,0.0,0.2,0.2,73689.74582553934,0.0,73689.74582553934,73689.74582553934,31327.20739191559,0.0,31327.20739191559,31327.20739191559,-655.459729042201,0.0,-655.459729042201,-655.459729042201,-2.360030223520245,0.0,-2.360030223520245,-2.360030223520245,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,104359.13345818922,0.0,104359.13345818922,104359.13345818922
L,Fe-1.15Cu_wt,CU,110,400.0,2.103214969320853,0.0,2.103214969320853,2.103214969320853,0.8770024570333754,0.0,0.8770024570333755,0.8770024570333755,0.8770060831567459,0.0,0.877006083156746,0.877006083156746,0.8838000000000001,0.0,0.8838,0.8838,0.2,0.0,0.2,0.2,52763.234419218345,0.0,52763.234419218345,52763.234419218345,20836.73466086455,0.0,20836.73466086455,20836.73466086455,-10.654711247680003,0.0,-10.654711247680003,-10.654711247680003,-0.0009321212874796,0.0,-0.0009321212874796,-0.0009321212874796,-18.853809870497933,0.0,-18.853809870497933,-18.853809870497933,0.0,0.0,0.0,0.0,73570.45962684343,0.0,73570.45962684343,73570.45962684343
L,Fe-1.15Cu_wt,CU,110,425.0,2.124441306592074,0.0,2.124441306592074,2.124441306592074,0.8514317699685418,0.0,0.8514317699685418,0.8514317699685418,0.8514353960919122,0.0,0.8514353960919122,0.8514353960919122,0.885305,0.0,0.885305,0.885305,0.2,0.0,0.2,0.2,53713.40982497255,0.0,53713.40982497256,53713.40982497256,20641.51533092615,0.0,20641.51533092615,20641.51533092615,-15.444129390011415,0.0,-15.444129390011415,-15.444129390011415,-0.0019590906651718,0.0,-0.0019590906651718,-0.0019590906651718,-26.52216282727869,0.0,-26.52216282727869,-26.52216282727869,0.0,0.0,0.0,0.0,74312.95690459074,0.0,74312.95690459074,74312.95690459074
L,Fe-1.15Cu_wt,CU,110,450.0,2.144534073052664,0.0,2.144534073052664,2.144534073052664,0.8235898875157961,0.0,0.8235898875157961,0.8235898875157961,0.8235957729633159,0.0,0.8235957729633159,0.8235957729633159,0.88584,0.0,0.88584,0.88584,0.2,0.0,0.2,0.2,54747.4468774345,0.0,54747.4468774345,54747.4468774345,20325.824170475786,0.0,20325.824170475786,20325.824170475786,-21.600058027669544,0.0,-21.600058027669544,-21.600058027669544,-0.0031379821083361,0.0,-0.0031379821083361,-0.0031379821083361,-35.86597651830439,0.0,-35.86597651830439,-35.86597651830439,0.0,0.0,0.0,0.0,75015.8018753822,0.0,75015.8018753822,75015.8018753822
L,Fe-1.15Cu_wt,CU,110,475.0,2.1634377644821097,0.0,2.1634377644821097,2.1634377644821097,0.7939414670645718,0.0,0.7939414670645718,0.7939414670645718,0.7939369746451705,0.0,0.7939369746451705,0.7939369746451705,0.8875550000000001,0.0,0.887555,0.887555,0.2,0.0,0.2,0.2,55849.781136969126,0.0,55849.781136969126,55849.781136969126,19903.47508933653,0.0,19903.47508933653,19903.47508933653,-29.30816279686809,0.0,-29.30816279686809,-29.30816279686809,-0.0059912072609629,0.0,-0.0059912072609629,-0.0059912072609629,-46.88907071734287,0.0,-46.88907071734287,-46.88907071734287,0.0,0.0,0.0,0.0,75677.0530015842,0.0,75677.0530015842,75677.0530015842
L,Fe-1.15Cu_wt,CU,110,500.0,2.1811189044111003,0.0,2.1811189044111003,2.1811189044111003,0.7630150808402705,0.0,0.7630150808402705,0.7630150808402705,0.7630209662877901,0.0,0.7630209662877901,0.7630209662877901,0.8879949999999999,0.0,0.887995,0.887995,0.2,0.0,0.2,0.2,56998.0649467928,0.0,56998.0649467928,56998.0649467928,19395.76377490276,0.0,19395.76377490276,19395.76377490276,-38.74286214518632,0.0,-38.74286214518632,-38.74286214518632,-0.0086713281674031,0.0,-0.0086713281674031,-0.0086713281674031,-59.53791192191013,0.0,-59.53791192191013,-59.53791192191013,0.0,0.0,0.0,0.0,76295.53927630029,0.0,76295.53927630029,76295.53927630029
L,Fe-1.15Cu_wt,CU,110,525.0,2.197565655598812,0.0,2.197565655598812,2.197565655598812,0.7313989353517295,0.0,0.7313989353517295,0.7313989353517295,0.731389606408385,0.0,0.731389606408385,0.731389606408385,0.8886,0.0,0.8886,0.8886,0.2,0.0,0.2,0.2,58174.44765943264,0.0,58174.44765943264,58174.44765943264,18820.159049240392,0.0,18820.159049240392,18820.159049240392,-50.05645859396135,0.0,-50.05645859396135,-50.05645859396135,-0.0163465126751512,0.0,-0.0163465126751512,-0.0163465126751512,-73.68727071998067,0.0,-73.68727071998067,-73.68727071998067,0.0,0.0,0.0,0.0,76870.84663284643,0.0,76870.84663284643,76870.84663284643
L,Fe-1.15Cu_wt,CU,110,550.0,2.212786124901785,0.0,2.212786124901785,2.212786124901785,0.6995273869248428,0.0,0.6995273869248428,0.6995273869248428,0.6995332201005382,0.0,0.6995332201005382,0.6995332201005382,0.8886,0.0,0.8886,0.8886,0.2,0.0,0.2,0.2,59358.39656984224,0.0,59358.39656984224,59358.39656984224,18197.463648499343,0.0,18197.463648499343,18197.463648499343,-63.38873390606825,0.0,-63.38873390606825,-63.38873390606825,-0.0244930799957461,0.0,-0.0244930799957461,-0.0244930799957461,-89.18834229107752,0.0,-89.18834229107752,-89.18834229107752,0.0,0.0,0.0,0.0,77403.25864906443,0.0,77403.25864906443,77403.25864906443
