alloy,solute,plane,T_C,T_K,xB_bulk,L,seed,A_scale,omega_scale,omega_Jmol,omega_source,include_elastic,step,delta,accepted_total,proposed_total,acc_total,ads_total,ads_first2,term1_Jmol,term2_Jmol,term3_Jmol,term4_Jmol,term5_Jmol,Eel_Jmol,total_Jmol,yB_L1,yB_L2,yB_L3,yB_L4
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,2,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,0,1.5,0,0,0.0,1.5696386657649284,1.3797591105099523,52283.62721099603,39999.36045381767,-80.41038487729455,-96.45973534526938,-194.7463582846497,0.0,91911.37118630648,0.9,0.5,0.2,0.010120444745023863
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,2,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,1000,1.5,666,1000,0.666,0.48658307353245744,0.5068239630205051,66130.86371078542,12076.053197629164,-47.09441164055289,0.9166988959249394,-48.78840654654484,0.0,78111.9507891234,0.5270648525095528,1e-12,1e-12,1e-12
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,2,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,2000,0.2,1321,2000,0.6605,1.3360267759684405,0.9797591105099523,48570.585790032725,38919.48804630627,-89.34383442223502,3.179274133360006,-203.2050926038182,0.0,87200.7041834463,0.999999999999,1e-12,0.3765085549475361,1e-12
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,2,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,3000,0.2,2208,3000,0.736,0.7877454077072363,0.5870391508163434,66702.41009575102,15741.610515642564,-45.719290758826084,-7.27209150589008,-55.330310785210095,0.0,82335.69891834365,0.5116719085544166,0.09560813175197455,1e-12,0.2209471463799407
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,2,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,4000,0.2,3087,4000,0.77175,1.79287457961389,1.4687130067272927,55936.78531382461,43857.3227933721,-71.62101252958647,-119.69507200358613,-207.64130401581892,0.0,99395.15071864771,0.8016127834672991,0.6873411127500411,0.1497851328018469,0.19461732957479813
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,2,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,5000,0.2,3987,5000,0.7974,1.6965277598502604,1.2200185862565347,55436.94269319019,42072.34768367068,-72.82361662838207,-96.86342008854609,-192.78026660999936,0.0,97146.82307353396,0.8150745945262163,0.42518488122036613,0.49675006308277353,1e-12
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,2,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,6000,0.2,4890,6000,0.815,1.4233896631857115,0.9184116673206268,61756.4735359322,30046.009511824206,-57.61904346833255,-50.888410913959156,-114.74930516762183,0.0,91579.22628820648,0.6448763627747571,0.2937761940359174,0.16677480216737284,0.35844408318775967
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,2,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,7000,0.2,5784,7000,0.8262857142857143,1.5229155892024635,1.2235465139380108,54163.938203104786,35839.0905118895,-75.8864215080837,-71.61787369608204,-163.7523617332459,0.0,89691.77205805687,0.8493592777749803,0.3944281256530783,0.13596879271434206,0.18364117204015823
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,2,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,8000,0.2,6663,8000,0.832875,0.6726384838544499,0.33445827271127043,72530.87318756065,13729.255493821645,-31.69620966383506,1.2600763493701044,-43.81250916403895,0.0,86185.8800389038,0.35469916220031816,1e-12,1e-12,0.3584211006322272
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,2,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,9000,0.2,7572,9000,0.8413333333333334,1.3696404430205829,1.0159604163911662,48570.585790032725,38917.39353948857,-89.34383442223502,-3.9884235285322713,-202.96589513362525,0.0,87191.6811764369,0.999999999999,0.03620130588221376,1e-12,0.37392091611846445
