alloy,solute,plane,T_C,T_K,xB_bulk,L,seed,A_scale,omega_scale,omega_Jmol,omega_source,include_elastic,step,delta,accepted_total,proposed_total,acc_total,ads_total,ads_first2,term1_Jmol,term2_Jmol,term3_Jmol,term4_Jmol,term5_Jmol,Eel_Jmol,total_Jmol,yB_L1,yB_L2,yB_L3,yB_L4
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,0,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,0,1.5,0,0,0.0,1.5644291790991862,1.3762861193994576,113849.39773962638,38282.20778215787,-137.99060594786272,-164.9929050014004,-333.66525968969125,0.0,151494.9567511453,0.9,0.5,0.2,0.011856940300271224
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,0,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,1000,1.5,588,1000,0.588,0.09413309263819905,-0.007900645726178148,85701.00000003127,1466.8494060511803,-0.02207525274302466,0.4535466713732009,-4.1667076174389255,0.0,87164.11416988364,1e-12,0.0158132348733643,1e-12,0.12574761896391964
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,0,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,2000,0.2,1177,2000,0.5885,0.14962554169693087,0.13634947480504528,90707.14110163058,2198.3847926750614,-24.55952632295223,0.7390319764946846,-7.18469199906559,0.0,92874.52070796012,0.16006335540458774,1e-12,0.03698994749142805,1e-12
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,0,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,3000,0.2,2026,3000,0.6753333333333333,0.47906481203634227,0.36819883529604985,85701.00000003127,8328.038548568462,-0.02207525274302466,-7.8114151496845325,-47.46431409818062,0.0,93973.74074409914,1e-12,0.3919127158955923,0.08161606597574914,0.05296379136508572
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,0,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,4000,0.2,2877,4000,0.71925,0.9094120913376684,0.138175052297961,85726.93940372329,17934.67970346016,-0.1492164650991534,-46.265339890823896,-119.8979099425652,0.0,103495.30664088496,0.0008293709491711265,0.16105956194933235,0.2214062367460721,0.5735446828941777
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,0,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,5000,0.2,3727,5000,0.7454,0.45466326116382255,0.23654402438541558,85701.00000003127,7256.536289641297,-0.02207525274302466,-15.946384891924883,-32.9219630132566,0.0,92908.64586651465,1e-12,0.26025790498495804,0.21889798723602336,0.022935130142926058
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,0,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,6000,0.2,4591,6000,0.7651666666666667,0.2905529911286257,0.11383569481615802,87033.73561748577,2800.9169502569935,-6.554439071327251,-6.0291273130452865,-7.804668040460279,0.0,89814.26433331793,0.042612089925410795,0.09493748549128966,0.1265727101964958,0.07385846671651433
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,0,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,7000,0.2,5447,7000,0.7781428571428571,0.993099685159094,0.37332647841576655,87895.54346901839,18649.14461482306,-10.7785645124077,-73.47187646850523,-120.53752145803679,0.0,106339.90012140249,0.07016701768911318,0.3268733413271958,0.5328465278364065,0.1106405595074634
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,0,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,8000,0.2,6286,8000,0.78575,0.7306206608737995,0.46322623845361854,85701.00000003127,13457.053345074668,-0.02207525274302466,-24.133052213957765,-82.1554864292614,0.0,99051.74273120999,1e-12,0.486940119053161,0.1478530738621627,0.14325522915856073
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,0,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,9000,0.2,7148,9000,0.7942222222222223,0.9334501942972367,0.048820087469256666,85701.00000003127,21547.062096548714,-0.02207525274302466,-34.918961758785215,-181.95995309951329,0.0,107031.16110646895,1e-12,0.07253396806879911,0.15060838986381186,0.7577355975647107
