alloy,solute,plane,T_C,T_K,xB_bulk,L,seed,A_scale,omega_scale,omega_Jmol,omega_source,include_elastic,step,delta,accepted_total,proposed_total,acc_total,ads_total,ads_first2,term1_Jmol,term2_Jmol,term3_Jmol,term4_Jmol,term5_Jmol,Eel_Jmol,total_Jmol,yB_L1,yB_L2,yB_L3,yB_L4
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,0,1.5,0,0,0.0,1.4887350578323646,1.325823371888243,100632.97468978945,26042.92428256125,-637.9888777562988,-725.9836342955778,-1506.5656346193687,0.0,123805.36082567944,0.9,0.5,0.2,0.03708831405587855
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,1000,1.5,645,1000,0.645,-0.02260563725659455,-0.0741766281097571,85701.0000000166,1248.7582497504386,-1.051478228540583,0.8211869275471497,-18.326109533969824,0.0,86931.20184893206,1e-12,1e-12,1e-12,0.12574761896391964
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,2000,0.2,1312,2000,0.656,0.555966478711234,0.2947890655183456,91822.54044296709,7860.607593607049,-262.17153313376326,33.626991054334646,-308.6014973119222,0.0,99146.0019971828,0.3689656936291027,1e-12,1e-12,0.33535404130364543
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,3000,0.2,2195,3000,0.7316666666666667,0.9993461665203377,0.5468876928022544,88263.69207214541,14206.273354532428,-110.36551459173448,-24.96138274278278,-671.5956355966388,0.0,101663.0428937467,0.1544620127509321,0.46660230816307935,1e-12,0.5266351018288404
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,4000,0.2,3101,4000,0.77525,1.1321273863920602,0.4253908703380917,90677.28569353648,18373.977483313993,-213.3196165551236,-13.925022552822346,-993.9776106197279,0.0,107830.04092712281,0.29993736375975455,0.19963013469009425,1e-12,0.7809131441647256
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,5000,0.2,3990,5000,0.798,0.8770132988408773,0.4954879340385036,88184.26385678146,9038.825254902267,-106.97742949287013,-212.4621590538816,-358.05457303253297,0.0,96545.59495010444,0.14967460885341355,0.41998995329684713,0.1951919806383637,0.2605100122757671
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,6000,0.2,4890,6000,0.815,1.2021305216742217,0.6729942080791377,89380.35952650523,16242.289866479541,-157.99801325946743,-533.1234202611688,-789.3821468130401,0.0,104142.1458126511,0.22176729084057858,0.5254035453503162,0.5294544749903267,0.07385846671651433
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,7000,0.2,5784,7000,0.8262857142857143,1.3289161959435951,0.4752048848947369,89392.65154198512,17152.293586272106,-158.522340720328,-581.9085032540526,-803.426545528605,0.0,105001.08773875424,0.22250817167929815,0.3268733413271958,0.6101520733320869,0.3177358658285283
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,8000,0.2,6678,8000,0.83475,0.6687905444836756,0.1478689438078713,85701.0000000166,7551.969729042032,-1.051478228540583,-179.93162222816645,-285.9617752767874,0.0,92786.02485332514,1e-12,0.2220455719186284,0.3863835224097155,0.20871470637784587
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,9000,0.2,7577,9000,0.8418888888888889,1.862609471072356,0.5848567487737653,87849.75362178902,32347.076439507742,-92.70858135870922,-865.3327848326719,-1848.9732776799167,0.0,117389.81541742546,0.12951255944282483,0.5295208174426975,0.40945509229226396,0.9424742581180838
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,10000,0.2,8464,10000,0.8464,0.4925914572884636,0.40469542683492626,91237.95614747821,5025.4132461694435,-237.23554116289048,-36.52165527307333,-177.49130057087984,0.0,95812.1208966408,0.33373084513315954,0.1451412098135238,0.0017838264289444516,0.16028883213635
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,11000,0.2,9372,11000,0.852,-0.09335399526993746,-0.0741766281097571,85701.0000000166,802.8178128356915,-1.051478228540583,-3.1903385352641633,-6.799317616377446,0.0,86492.77667847212,1e-12,1e-12,1e-12,0.054999260950576744
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,12000,0.2,10296,12000,0.858,0.5409537976595452,0.0017634941113828448,85701.0000000166,7602.591204619041,-1.051478228540583,-71.51563989172232,-358.09929925314316,0.0,92872.92478726224,1e-12,0.07594012222213994,0.5140292173886706,0.09933771427124888
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,13000,0.2,11198,13000,0.8613846153846154,0.8287105093851365,0.14736802987210443,87011.08543762988,10451.081043517303,-56.934402565675946,-203.16059680471164,-515.8195929553739,0.0,96686.25188882143,0.07896322612126813,0.1425814318625934,0.5927029318531545,0.16281617577163468
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,14000,0.2,12086,14000,0.8632857142857143,0.45988506892513586,0.3147129925923445,89206.37794229046,3824.855858219832,-150.57666543925106,-67.84814110441815,-118.95815166836915,0.0,92693.85084229826,0.21128083951405977,0.1776087811900418,0.20236733875973834,0.016981365684810117
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,15000,0.2,12968,15000,0.8645333333333334,0.664703012981558,0.31224688708998916,88499.32563849734,7793.981262231913,-120.41668559301225,-4.011067757483012,-310.46434788738844,0.0,95858.41479949137,0.16866443501071293,0.21775908019103332,1e-12,0.4266327540023259
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,16000,0.2,13872,16000,0.867,1.5625499093785327,0.35857015928510017,92880.73786275848,25587.251019331936,-307.30993758140534,-497.1239059181251,-1354.9761707271434,0.0,116308.57886786375,0.43274678739585726,1e-12,0.5967424948434608,0.6814138833617287
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,17000,0.2,14746,17000,0.8674117647058823,1.7601260311985318,0.7174048914366226,98834.19468309615,31797.300244466824,-561.2602277559434,-271.8741838337441,-1823.7156471999815,0.0,127974.6448687733,0.7915815195473797,1e-12,0.7567195350557571,0.3601782328179093
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,18000,0.2,15628,18000,0.8682222222222222,1.4398997971019571,0.47472857527228585,85701.0000000166,26574.139340697016,-1.051478228540583,-783.2784917764574,-1543.365847513804,0.0,109947.44352319482,1e-12,0.5489052033830429,0.894110311298857,0.14523753864257133
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,19000,0.2,16518,19000,0.8693684210526316,1.8011418999678115,0.9003638759691863,94956.69315986759,31274.60776671434,-395.86175982512844,-849.0595147153617,-1789.7328823608561,0.0,123196.64676968058,0.5578715486021412,0.41666895547880217,0.9056079582276727,0.06934669388270964
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,20000,0.2,17414,20000,0.8707,0.3515209289113783,0.15667727865070413,87149.25097364566,2921.713745681758,-62.827983223464045,2.7530116764397907,-93.88179347599298,0.0,89917.0079543044,0.08729092456688631,0.14356298219557492,0.014992639854237488,0.25402763851819377
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,21000,0.2,18306,21000,0.8717142857142857,1.3186297946212526,0.35748444254114475,91958.85429439334,18560.54636782268,-267.98612844690183,-361.47060474459204,-915.7803576391955,0.0,108974.16357138533,0.37718178485831744,0.054479285794584414,0.6204845875296036,0.4148373926622614
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,22000,0.2,19200,22000,0.8727272727272727,1.1908054379461546,0.7141565331967,90845.65215327896,13877.647418472236,-220.50144596912122,-449.42947927298525,-587.5603312398586,0.0,103465.80831526923,0.31008537277505654,0.47824778853340055,0.3034914955932482,0.24733403726796352
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,23000,0.2,20101,23000,0.8739565217391304,0.19738169940404734,0.08178398565227177,88150.38391643847,2220.567518852633,-105.53224882878838,20.231529723521675,-57.69112984871005,0.0,90227.95958633712,0.14763255166123665,0.008328062102792211,0.18977434186253267,1e-12
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,24000,0.2,21002,24000,0.8750833333333333,0.8562935409653926,0.5092760709006838,90214.73263242118,10517.251954580028,-193.58898145753162,-61.20515366847073,-427.1024623739788,0.0,100050.08798950122,0.2720577454472188,0.3113949535652222,1e-12,0.4211940981754658
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,25000,0.2,21882,25000,0.87528,0.8486572541999754,0.34153182848755814,89961.68500977533,8286.967757816828,-182.79499753555797,-164.83942882216041,-309.21211309528934,0.0,97591.80622813916,0.2568057198369027,0.15890273676241254,0.21801171911188694,0.36329033471228733
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,26000,0.2,22772,26000,0.8758461538461538,0.33040202452488154,0.28337963184858733,89280.80321491943,2814.8958618575903,-153.75134531865916,-37.295268324764706,-78.48723355466421,0.0,91826.16522957892,0.21576669933887538,0.14178956062146902,0.12119902078705133,1e-12
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,27000,0.2,23667,27000,0.8765555555555555,0.294045392504973,0.10969462238113972,87695.7437830907,1529.1128660420152,-86.13914709430564,-18.094716655076873,-39.58945809516836,0.0,89081.03332728817,0.12022987194113263,0.06364137855176419,0.10391352370734239,0.154613874528248
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,0,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,28000,0.2,24553,28000,0.8768928571428571,0.33715614396001553,0.2591033582479582,89062.55876009051,2394.2794742860447,-144.44192319545505,-34.836046881130045,-69.18865365393553,0.0,91208.37161064603,0.2026123769249515,0.13066760943476383,0.13113676686337525,0.02109264696043918
